technique_id,name_en,name_vi,description_en,description_vi,channel,kind,tags,status
mind-transfer,Mind Transfer,Mind Transfer,Active chakra technique with configurable targets and effects.,Kỹ năng chủ động chakra với mục tiêu và hiệu ứng có thể cấu hình.,CHAKRA,ACTIVE,mind,DESIGN_BASELINE
mist-assassination,Mist Assassination,Mist Assassination,Active physical technique with configurable targets and effects.,Kỹ năng chủ động vật lý với mục tiêu và hiệu ứng có thể cấu hình.,PHYSICAL,ACTIVE,combat,DESIGN_BASELINE
mud-wall,Mud Wall,Mud Wall,Active chakra technique with configurable targets and effects.,Kỹ năng chủ động chakra với mục tiêu và hiệu ứng có thể cấu hình.,CHAKRA,ACTIVE,combat,DESIGN_BASELINE
mystical-palm,Mystical Palm,Mystical Palm,Active chakra technique with configurable targets and effects.,Kỹ năng chủ động chakra với mục tiêu và hiệu ứng có thể cấu hình.,CHAKRA,ACTIVE,combat,DESIGN_BASELINE
night-guy,Night Guy,Night Guy,Signature high-impact physical technique with cinematic VFX.,Tuyệt kỹ vật lý đặc trưng có sức ảnh hưởng lớn và hiệu ứng riêng.,PHYSICAL,ULTIMATE,burst,DESIGN_BASELINE
paper-angel,Paper Angel,Paper Angel,Signature high-impact chakra technique with cinematic VFX.,Tuyệt kỹ chakra đặc trưng có sức ảnh hưởng lớn và hiệu ứng riêng.,CHAKRA,ULTIMATE,burst,DESIGN_BASELINE
paper-shuriken,Paper Shuriken,Paper Shuriken,Active chakra technique with configurable targets and effects.,Kỹ năng chủ động chakra với mục tiêu và hiệu ứng có thể cấu hình.,CHAKRA,ACTIVE,combat,DESIGN_BASELINE
parasitic-insects,Parasitic Insects,Parasitic Insects,Active chakra technique with configurable targets and effects.,Kỹ năng chủ động chakra với mục tiêu và hiệu ứng có thể cấu hình.,CHAKRA,ACTIVE,insect,DESIGN_BASELINE
partial-expansion,Partial Expansion,Partial Expansion,Active physical technique with configurable targets and effects.,Kỹ năng chủ động vật lý với mục tiêu và hiệu ứng có thể cấu hình.,PHYSICAL,ACTIVE,combat,DESIGN_BASELINE
passive-byakugan,Passive Byakugan,Passive Byakugan,Persistent passive modifying stats triggers or resources.,Nội tại duy trì để thay đổi chỉ số điều kiện hoặc tài nguyên.,CHAKRA,PASSIVE,passive,DESIGN_BASELINE
passive-immortal,Passive Immortal,Passive Immortal,Persistent passive modifying stats triggers or resources.,Nội tại duy trì để thay đổi chỉ số điều kiện hoặc tài nguyên.,CHAKRA,PASSIVE,passive,DESIGN_BASELINE
