technique_id,name_en,name_vi,description_en,description_vi,channel,kind,tags,status
eight-trigrams-64,Eight Trigrams: Sixty-Four Palms,Eight Trigrams: Sixty-Four Palms,Signature high-impact chakra technique with cinematic VFX.,Tuyệt kỹ chakra đặc trưng có sức ảnh hưởng lớn và hiệu ứng riêng.,CHAKRA,ULTIMATE,burst,DESIGN_BASELINE
fang-over-fang,Fang Over Fang,Fang Over Fang,Active physical technique with configurable targets and effects.,Kỹ năng chủ động vật lý với mục tiêu và hiệu ứng có thể cấu hình.,PHYSICAL,ACTIVE,combat,DESIGN_BASELINE
fireball-jutsu,Fireball Jutsu,Fireball Jutsu,Active chakra technique with configurable targets and effects.,Kỹ năng chủ động chakra với mục tiêu và hiệu ứng có thể cấu hình.,CHAKRA,ACTIVE,fire,DESIGN_BASELINE
flame-control,Flame Control,Flame Control,Active chakra technique with configurable targets and effects.,Kỹ năng chủ động chakra với mục tiêu và hiệu ứng có thể cấu hình.,CHAKRA,ACTIVE,combat,DESIGN_BASELINE
flute-genjutsu,Flute Genjutsu,Flute Genjutsu,Active chakra technique with configurable targets and effects.,Kỹ năng chủ động chakra với mục tiêu và hiệu ứng có thể cấu hình.,CHAKRA,ACTIVE,genjutsu,DESIGN_BASELINE
genjutsu-eye,Genjutsu Eye,Genjutsu Eye,Active chakra technique with configurable targets and effects.,Kỹ năng chủ động chakra với mục tiêu và hiệu ứng có thể cấu hình.,CHAKRA,ACTIVE,genjutsu,DESIGN_BASELINE
gentle-fist,Gentle Fist,Gentle Fist,Active physical technique with configurable targets and effects.,Kỹ năng chủ động vật lý với mục tiêu và hiệu ứng có thể cấu hình.,PHYSICAL,ACTIVE,combat,DESIGN_BASELINE
great-wind-burst,Great Wind Burst,Great Wind Burst,Signature high-impact chakra technique with cinematic VFX.,Tuyệt kỹ chakra đặc trưng có sức ảnh hưởng lớn và hiệu ứng riêng.,CHAKRA,ULTIMATE,wind|burst,DESIGN_BASELINE
hidden-shadow-snakes,Hidden Shadow Snakes,Hidden Shadow Snakes,Active chakra technique with configurable targets and effects.,Kỹ năng chủ động chakra với mục tiêu và hiệu ứng có thể cấu hình.,CHAKRA,ACTIVE,shadow|snake,DESIGN_BASELINE
human-boulder,Human Boulder,Human Boulder,Active physical technique with configurable targets and effects.,Kỹ năng chủ động vật lý với mục tiêu và hiệu ứng có thể cấu hình.,PHYSICAL,ACTIVE,combat,DESIGN_BASELINE
hundred-healings,Strength of a Hundred Healings,Strength of a Hundred Healings,Signature high-impact chakra technique with cinematic VFX.,Tuyệt kỹ chakra đặc trưng có sức ảnh hưởng lớn và hiệu ứng riêng.,CHAKRA,ULTIMATE,heal|burst,DESIGN_BASELINE
hundred-puppets,Hundred Puppets,Hundred Puppets,Signature high-impact chakra technique with cinematic VFX.,Tuyệt kỹ chakra đặc trưng có sức ảnh hưởng lớn và hiệu ứng riêng.,CHAKRA,ULTIMATE,puppet|burst,DESIGN_BASELINE
illusion-prison,Illusion Prison,Illusion Prison,Signature high-impact chakra technique with cinematic VFX.,Tuyệt kỹ chakra đặc trưng có sức ảnh hưởng lớn và hiệu ứng riêng.,CHAKRA,ULTIMATE,burst,DESIGN_BASELINE
indras-arrow,Indra's Arrow,Indra's Arrow,Signature high-impact chakra technique with cinematic VFX.,Tuyệt kỹ chakra đặc trưng có sức ảnh hưởng lớn và hiệu ứng riêng.,CHAKRA,ULTIMATE,burst,DESIGN_BASELINE
inorganic-reanimation,Inorganic Reanimation,Inorganic Reanimation,Signature high-impact chakra technique with cinematic VFX.,Tuyệt kỹ chakra đặc trưng có sức ảnh hưởng lớn và hiệu ứng riêng.,CHAKRA,ULTIMATE,burst,DESIGN_BASELINE
insect-sphere,Insect Sphere,Insect Sphere,Signature high-impact chakra technique with cinematic VFX.,Tuyệt kỹ chakra đặc trưng có sức ảnh hưởng lớn và hiệu ứng riêng.,CHAKRA,ULTIMATE,insect|burst,DESIGN_BASELINE
kamui,Kamui,Kamui,Signature high-impact chakra technique with cinematic VFX.,Tuyệt kỹ chakra đặc trưng có sức ảnh hưởng lớn và hiệu ứng riêng.,CHAKRA,ULTIMATE,kamui|burst,DESIGN_BASELINE
kamui-phase,Kamui Phase,Kamui Phase,Active chakra technique with configurable targets and effects.,Kỹ năng chủ động chakra với mục tiêu và hiệu ứng có thể cấu hình.,CHAKRA,ACTIVE,kamui,DESIGN_BASELINE
kirin,Kirin,Kirin,Signature high-impact chakra technique with cinematic VFX.,Tuyệt kỹ chakra đặc trưng có sức ảnh hưởng lớn và hiệu ứng riêng.,CHAKRA,ULTIMATE,burst,DESIGN_BASELINE
kunai-volley,Kunai Volley,Kunai Volley,Active physical technique with configurable targets and effects.,Kỹ năng chủ động vật lý với mục tiêu và hiệu ứng có thể cấu hình.,PHYSICAL,ACTIVE,combat,DESIGN_BASELINE
kurama-claw,Kurama Claw,Kurama Claw,Active chakra technique with configurable targets and effects.,Kỹ năng chủ động chakra với mục tiêu và hiệu ứng có thể cấu hình.,CHAKRA,ACTIVE,combat,DESIGN_BASELINE
lariat,Lariat,Lariat,Active physical technique with configurable targets and effects.,Kỹ năng chủ động vật lý với mục tiêu và hiệu ứng có thể cấu hình.,PHYSICAL,ACTIVE,combat,DESIGN_BASELINE
lightning-armor,Lightning Armor,Lightning Armor,Active chakra technique with configurable targets and effects.,Kỹ năng chủ động chakra với mục tiêu và hiệu ứng có thể cấu hình.,CHAKRA,ACTIVE,lightning,DESIGN_BASELINE
lightning-blade,Lightning Blade,Lightning Blade,Active chakra technique with configurable targets and effects.,Kỹ năng chủ động chakra với mục tiêu và hiệu ứng có thể cấu hình.,CHAKRA,ACTIVE,lightning,DESIGN_BASELINE
lightning-straight,Lightning Straight,Lightning Straight,Signature high-impact physical technique with cinematic VFX.,Tuyệt kỹ vật lý đặc trưng có sức ảnh hưởng lớn và hiệu ứng riêng.,PHYSICAL,ULTIMATE,lightning|burst,DESIGN_BASELINE
limbo,Limbo,Limbo,Active chakra technique with configurable targets and effects.,Kỹ năng chủ động chakra với mục tiêu và hiệu ứng có thể cấu hình.,CHAKRA,ACTIVE,combat,DESIGN_BASELINE
majestic-destroyer-flame,Majestic Destroyer Flame,Majestic Destroyer Flame,Active chakra technique with configurable targets and effects.,Kỹ năng chủ động chakra với mục tiêu và hiệu ứng có thể cấu hình.,CHAKRA,ACTIVE,combat,DESIGN_BASELINE
mask-combo,Mask Combo,Mask Combo,Signature high-impact chakra technique with cinematic VFX.,Tuyệt kỹ chakra đặc trưng có sức ảnh hưởng lớn và hiệu ứng riêng.,CHAKRA,ULTIMATE,burst,DESIGN_BASELINE
mass-healing,Mass Healing,Mass Healing,Signature high-impact chakra technique with cinematic VFX.,Tuyệt kỹ chakra đặc trưng có sức ảnh hưởng lớn và hiệu ứng riêng.,CHAKRA,ULTIMATE,heal|burst,DESIGN_BASELINE
mind-destruction,Mind Destruction,Mind Destruction,Active chakra technique with configurable targets and effects.,Kỹ năng chủ động chakra với mục tiêu và hiệu ứng có thể cấu hình.,CHAKRA,ACTIVE,mind,DESIGN_BASELINE
